fire_id,fire_name,year,alarm_date,cont_date,duration_days,gis_acres,cause,lon_centroid,lat_centroid,lag_days,elev_mean,elev_std,slope_mean,nlcd_open_water,nlcd_dev_open,nlcd_dev_low,nlcd_dev_med,nlcd_dev_high,nlcd_barren,nlcd_forest_decid,nlcd_forest_ever,nlcd_forest_mixed,nlcd_shrub,nlcd_grassland,nlcd_pasture,nlcd_crops,nlcd_wetland_woody,nlcd_wetland_herb
BOISE_2024_00016,BOISE,2024,8/9/24,9/20/24,42,12912.64648,1,-123.4731462,41.247885657380586,365,,,,0.018719462,0.012011277,0.015057155548303464,0.001078749,0,0.068659179,1.813022943805354e-05,0.19695774750029463,0,0.31888354047120465,0.23751507075322037,0.049531787,0.017296238883903074,0.009083245,0.055188418
HAPPY_2024_00017,HAPPY,2024,7/16/24,11/15/24,122,12543.14551,1,-118.7292614,36.83158155883676,365,2184.3890569317246,573.0303308645051,15.481175318399043,0,4.449300223948111e-05,0.002733848,0,0,0.002328467,0,0.07691357,0,0.8973398128327705,0.020620034704541747,0,0,0,1.9774667661991605e-05
FRESNO_JUNE_LIGHTNING_COMPLEX_2024_00018,FRESNO JUNE LIGHTNING COMPLEX,2024,6/24/24,7/4/24,10,10641.13281,1,-119.3050735,36.754437868689884,365,405.99231425350024,183.8567489505815,7.160044963159138,0,0.002409011,0.000913193,0,0,1.239628442034974e-05,0,0.11916548213282206,0,0.8774999173581038,0,0,0,0,0
RANCHO_2024_00019,RANCHO,2024,7/13/24,7/15/24,2,9637.176758,14,-118.7480721,35.09608143755388,365,571.9471721,262.7251465723645,7.176924115584742,0,0,0.00016787,0,0,1.1990695220508885e-05,0,0,0,0.9998201395716924,0,0,0,0,0
LONG_2024_00020,LONG,2024,7/15/24,9/17/24,64,9204.339844,1,-118.1578761,35.852767321829255,365,1896.5114075933507,218.8089830683183,10.183300092378499,0,0,0.000865801,0.001998002,0,0.006970807,0,0,0,0.9900987900987901,0,0,0,6.66000666000666e-05,0
HILL_2024_00021,HILL,2024,7/16/24,8/14/24,29,7224.246582,1,-123.6447902,40.78034943122846,365,,,,0.030156399,0.010829805005904547,0.040237334,0.006192575,0.001526542,0,0,0,0,0.3018088078573692,0.12601169388519254,0.084665457,0.10273913419165298,0.035859327745614795,0.25997292548748524
WHITE_2024_00022,WHITE,2024,7/13/24,7/26/24,13,5562.287598,14,-118.5352202,34.970853478253694,365,1525.6398087374912,194.33107136408904,9.001309371952974,0,0,0,0,0,0.00072538,0,0.046957671957671955,0,0.9522742788871821,0,0,0,4.266939750810719e-05,0
AERO_2024_00023,AERO,2024,6/17/24,6/27/24,10,5284.862793,2,-120.6493847,37.99919766579608,365,385.25589668204765,100.3488679923662,4.547638116421362,0,0,0.001870926,0.001106462,0,0.00376197,0,0.000382232,0,0.9928784099138972,0,0,0,0,0
NIXON_2024_00024,NIXON,2024,7/29/24,8/7/24,9,5221.286621,11,-116.7258006,33.456943872805105,365,1299.5855515506069,159.37115208639858,6.142078519537929,0,0.000173498,0.00222656,0.004106123,2.891635943034772e-05,0.003975999,0,0,0,0.9877828381406781,0.000130124,0,0,0.000809658,0.000766284
SHOE_2024_00025,SHOE,2024,10/9/24,11/16/24,38,5124.03125,9,-122.0978013,40.92657430925582,365,,,,0,0.000227547,0.000637131,2.2754681775775364e-05,0,0,0.015518693,0.004710219,0,0.9148519807950486,0.044053063917901106,0,0,0.018317519,0.001661092
