fire_id,fire_size,ignition_date,containment_date,duration_days,latitude,longitude,ignition_year,ignition_month,hot_days_6mo,avg_fm100_6mo,avg_fm1000_6mo,days_fm100_below_10,avg_max_temp_6mo,avg_min_temp_6mo,hottest_day_6mo,coldest_day_6mo,avg_daily_temp_range,mean_elevation,elevation_variability,mean_slope,open_water,barren,forest_decid,forest_ever,forest_mixed,shrub,grassland,pasture,crops,wetland,wetland_herb,forest_fraction,shrub_fraction,grass_fraction,agriculture_fraction,nonburnable_fraction,dominant_veg,avg_vpd_6mo,avg_wind_6mo,extreme_fire_days,avg_precip_6mo,rainy_days_6mo,avg_humidity_6mo
152_2004_06779,54.56896209716797,2003-05-02 00:00:00,2004-05-01 00:00:00,365,37.07602609537616,-121.20362923197936,2003,5,,16.90990736833333,18.89055561111112,8.0,17.227498388888907,5.77712916666669,33.80000000000001,-1.0833499999999958,11.450369222222218,326.7842466886312,62.915589116293845,8.36842992542478,0.0,0.0765550239234449,0.0071770334928229,0.0263157894736842,0.0,0.8875598086124402,0.0023923444976076,0.0,0.0,0.0,0.0,0.0334928229665071,0.8875598086124402,0.0023923444976076,0.0,0.0765550239234449,shrub_fraction,0.6430370322222222,3.5140740605555556,0.0,2.0197222537777773,56.0,88.25240724999993
152_2004_06854,12.81753921508789,2003-05-02 00:00:00,2004-05-01 00:00:00,365,37.08131078783242,-121.19371356437529,2003,5,,16.789305563333325,18.759861105555547,9.0,17.138193666666687,6.2730571111111315,33.67500000000001,-0.5999999999999659,10.865136555555555,275.5991402634903,31.870664325349175,9.987496247005245,0.0,0.0,0.0,0.2008928571428571,0.0,0.7991071428571429,0.0,0.0,0.0,0.0,0.0,0.2008928571428571,0.7991071428571429,0.0,0.0,0.0,shrub_fraction,0.6392222202222224,3.5308333344444445,0.0,2.030694443,56.0,87.57263890555554
152_2005_06431,193.61260986328125,2004-06-14 00:00:00,2005-06-14 00:00:00,365,37.06863059351844,-120.97815000254452,2004,6,1.0,16.732345730555565,19.459320875,16.0,19.357961777777806,8.237715611111133,35.10552000000001,-0.14999999999997726,11.120246166666673,66.36957607565667,8.85351020562556,0.9628494975236356,0.0,0.9864864864864864,0.0,0.0,0.0,0.0135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0135135135135135,0.0,0.0,0.9864864864864864,shrub_fraction,0.7199074079616671,2.8467901114444456,0.0,1.4617901492499998,58.0,89.89067896666664
155_2003_06988,457.1921997070313,2002-07-11 00:00:00,2003-07-12 00:00:00,366,35.717063766208746,-118.87536837090516,2002,7,22.0,13.161481533888882,15.150463074444433,48.0,23.952132777777813,9.966296500000023,41.799980000000005,0.7833200000000033,13.985836277777786,470.30772622387974,35.87065997055632,4.2295581904796835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.264212959388889,2.8790740450000007,4.0,0.9449074031666668,46.0,80.10537050555553
155_2024_00203,55.41169357299805,2023-06-07 00:00:00,2024-06-09 00:00:00,368,35.688420851033754,-118.46459522794736,2023,6,,12.883271648333334,14.877345750000002,42.0,15.523765944444467,5.14555788888891,34.594449999999995,-5.383339999999976,10.378208055555557,871.1120134200784,44.628351845348234,7.8352194502484,0.0,0.0,0.0,0.5961844197138315,0.0,0.4038155802861685,0.0,0.0,0.0,0.0,0.0,0.5961844197138315,0.4038155802861685,0.0,0.0,0.0,forest_fraction,0.7618827155111111,4.256913545,0.0,1.8824074033388882,67.0,73.37543178888889
156_2005_06581,15.624533653259276,2004-11-19 00:00:00,2005-11-19 00:00:00,365,36.863504193433144,-121.56836941206905,2004,11,,14.642098738888887,14.986358133333344,0.0,25.04759016666671,10.241049833333351,34.794460000000015,4.049980000000005,14.806540333333349,155.66268041088742,16.098188080488363,4.642521447195876,0.0,0.0235294117647058,0.0,0.0,0.0,0.9294117647058824,0.0,0.0,0.0,0.0470588235294117,0.0,0.0,0.9294117647058824,0.0,0.0,0.07058823529411751,shrub_fraction,0.9997160488333334,3.644444442777779,0.0,0.15962963019999998,11.0,92.51308657222222
165_2001_07486,1796.5673828125,2000-06-13 00:00:00,2001-06-14 00:00:00,366,37.22479677973514,-120.83427896280205,2000,6,16.0,16.34151339263803,18.91349698773006,22.0,22.03931564417181,7.309250858895732,41.5,-4.183359999999993,14.730064785276062,24.100983631897755,0.8970939891886152,0.2291975160903513,0.0,0.0218764684383647,0.0,0.0660993055918132,0.0,0.912024225969822,0.0,0.0,0.0,0.0,0.0,0.0660993055918132,0.912024225969822,0.0,0.0,0.0218764684383647,shrub_fraction,0.9957771037423315,3.0085378436196324,1.0,1.1715746258282211,36.0,92.94877359509205
166_2010_04863,356.93841552734375,2009-07-12 00:00:00,2010-07-13 00:00:00,366,34.95651733691528,-119.83988860983872,2009,7,2.0,12.162963059444445,14.426543279444447,62.0,19.092839722222244,6.33857805555558,36.483360000000005,-1.272199999999998,12.754261666666666,750.8830199752672,32.706237316522355,3.5737405677668357,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.0019506109444445,3.9763580416666664,0.0,2.018580262816668,39.0,74.38142032222223
166_2020_01651,120.7202377319336,2019-08-04 00:00:00,2020-08-04 00:00:00,366,34.93551038870018,-119.49849293488572,2019,8,15.0,9.488425936111113,10.875925986111113,121.0,24.010090500000015,7.881479500000023,38.60000000000002,-2.166659999999979,16.128610999999992,796.618533482657,26.757761503677628,2.8582730168180106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.4933611102777777,3.611574074444443,0.0,0.6944444471111111,23.0,66.84703707777774
178_2020_01879,7.222607135772705,2019-07-26 00:00:00,2020-07-25 00:00:00,365,35.3976633540361,-118.9093771362888,2019,7,46.0,10.316296323333335,12.278888917222229,90.0,27.67342611111114,13.202778055555584,42.450000000000045,-1.1166399999999612,14.47064805555555,244.71767546001232,9.726409231060408,2.1933384433131775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.853546299888889,3.1321296238888876,7.0,0.6795370299444445,25.0,67.94685191111108
17_7_2020_01948,1.8423131704330444,2019-08-18 00:00:00,2020-08-17 00:00:00,365,38.88749394170601,-122.58501194479962,2019,8,34.0,10.48472222555555,12.060277816111114,100.0,26.091248888888913,10.159999555555576,40.35000000000002,-1.224999999999966,15.93124933333334,439.6456769670759,3.936030200735912,3.150614929503967,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.3888888888888889,0.0,0.0,shrub_fraction,1.5924027800555551,2.8505555711111104,0.0,0.5416666497222222,30.0,70.78583342222221
