date,days_to_ignition,phase,bi,erc,fm100,fm1000,tmmx,tmmn,rmax,rmin,pr,vpd,vs
2020-08-21,-327,pre_fire,71.34171,83.19086,6.214628,7.0049143,301.72467,283.8704,44.718975,12.733256,0.0,2.0552685,3.8362288
2020-08-22,-326,pre_fire,62.616,82.93714,6.164114,7.001714,302.8008,284.5616,49.824,14.372229,0.0,2.096537,2.905943
2020-08-23,-325,pre_fire,67.69372,82.76457,5.9101715,6.957143,303.73212,286.49954,41.67234,12.312456,0.09771428,2.3540797,3.8125715
2020-08-24,-324,pre_fire,66.16572,81.78971,6.1318855,6.864457,301.66208,288.008,50.043655,20.234058,0.026971428,1.9516115,3.6970284
2020-08-25,-323,pre_fire,56.749714,80.104,6.782857,6.8564577,300.66547,285.80536,64.33555,24.957258,0.0,1.6116343,2.6438859
2020-08-26,-322,pre_fire,56.749714,77.86057,7.556,6.9531426,300.0785,284.71634,71.226974,26.969143,0.0,1.4677715,2.8293717
2020-08-27,-321,pre_fire,54.334858,79.58171,7.3899426,6.999657,300.60135,284.47278,56.093487,19.1,0.0,1.7526172,2.2829714
2020-08-28,-320,pre_fire,61.082287,81.70057,6.9139423,6.9814854,303.31564,285.56653,47.319084,13.845258,0.0,2.2051885,2.8036568
2020-08-29,-319,pre_fire,60.882286,82.947426,6.4816,6.958057,303.61874,285.25967,44.716454,12.422286,0.0,2.2774744,2.6610284
2020-08-30,-318,pre_fire,64.15886,83.18514,6.2349715,6.937943,301.28162,284.41257,44.556114,13.550514,0.0,1.9969373,3.057943
2020-08-31,-317,pre_fire,69.39314,84.36686,6.0623994,6.8325715,301.32755,283.46765,46.2808,11.805715,0.0,2.0093598,3.5031998
2020-09-01,-316,pre_fire,82.70743,84.27314,6.085029,6.7323427,301.40494,284.19257,49.49063,13.752915,0.0,1.9710742,5.0885715
2020-09-02,-315,pre_fire,63.188572,86.09143,5.8628573,6.632571,304.62836,285.16763,45.11726,10.252342,0.0,2.4377713,2.6465144
2020-09-03,-314,pre_fire,65.461716,86.456,5.7314286,6.5953145,306.2591,286.65256,45.683884,10.607657,0.0,2.6577258,2.8712003
2020-09-04,-313,pre_fire,72.83428,87.03086,5.5763426,6.5552,306.547,287.29144,43.72846,10.355886,0.0,2.7450056,3.6203427
2020-09-05,-312,pre_fire,59.253716,88.457146,5.265943,6.497143,307.04013,287.71805,38.56983,8.261029,0.0,2.923417,2.0149715
2020-09-06,-311,pre_fire,67.67086,89.224,4.979428,6.421257,305.67563,288.76364,34.77897,8.610628,0.0,2.8119314,2.8531427
2020-09-07,-310,pre_fire,77.620575,89.09371,5.139314,6.3411427,305.28333,283.68262,47.289715,9.161943,0.0,2.4888003,3.931657
2020-09-08,-309,pre_fire,112.80457,87.60343,5.279086,6.2492566,293.38046,280.53076,39.91394,13.7394285,0.0,1.3350742,8.438857
2020-09-09,-308,pre_fire,104.18172,92.153145,4.7304,6.1003428,297.49908,280.13623,27.866858,5.007314,0.0,1.8033942,6.3217144
2020-09-10,-307,pre_fire,74.09943,92.808,4.470286,6.0061707,298.22375,280.21704,30.95703,5.977943,0.0,1.8388686,3.1898286
2020-09-11,-306,pre_fire,60.59086,91.39886,4.7197714,5.980685,299.95953,280.86365,42.64411,9.353256,0.0,1.8846287,2.0275428
2020-09-12,-305,pre_fire,67.32229,91.638855,4.7958856,5.9553146,301.56915,282.22183,40.645485,8.492572,0.0,2.1003659,2.6738286
2020-09-13,-304,pre_fire,76.776,91.486855,4.841829,5.9303994,300.2777,282.31372,39.114975,9.013714,0.0,1.9793371,3.6817143
2020-09-14,-303,pre_fire,85.384,91.74743,4.8706284,5.847543,300.0182,282.35715,38.741142,9.1196575,0.0,1.9602171,4.5696
2020-09-15,-302,pre_fire,74.296,93.361145,4.6758857,5.725029,299.7192,281.88208,33.546288,6.938172,0.0,1.9869372,3.2146285
2020-09-16,-301,pre_fire,74.421715,93.85943,4.5619426,5.6566854,298.91095,281.13107,33.966286,7.044457,0.0,1.8855543,3.1949713
2020-09-17,-300,pre_fire,86.70286,92.781715,4.7808,5.6506286,298.40045,279.42972,41.929028,9.127315,0.0,1.7235657,4.626171
2020-09-18,-299,pre_fire,79.22514,81.34171,7.2021713,5.9467425,293.3457,278.4079,83.8208,30.615086,0.012342857,0.8751543,5.561943
2020-09-19,-298,pre_fire,53.706287,79.58629,8.386171,6.1940575,294.36902,277.81738,78.33646,24.82937,0.0,1.0174285,2.3325715
2020-09-20,-297,pre_fire,62.864,82.06057,8.083771,6.283772,298.35626,279.4729,58.840805,14.393372,0.0,1.558,3.0267427
2020-09-21,-296,pre_fire,71.35543,83.64914,7.479657,6.2825146,297.61542,280.30765,47.31543,12.299886,0.0,1.6032573,3.8329144
2020-09-22,-295,pre_fire,76.22743,84.72343,6.952,6.2677712,297.0631,281.36227,43.024117,12.356458,0.0,1.6023659,4.288914
2020-09-23,-294,pre_fire,80.53943,83.573715,7.036914,6.346286,298.23752,280.4734,56.629715,15.4025135,0.0,1.5527885,4.9901714
2020-09-24,-293,pre_fire,64.76228,78.853714,7.9926863,6.5513144,295.60205,280.2552,72.52091,25.134058,0.0,1.1419429,3.7353141
2020-09-25,-292,pre_fire,69.66743,77.853714,8.536343,6.6385145,296.77487,280.28238,71.93874,22.998285,0.0,1.2466286,4.4013715
2020-09-26,-291,pre_fire,59.648,75.192,9.295199,6.8073144,295.44183,280.24524,76.34709,26.887543,0.0,1.0902286,3.4157712
2020-09-27,-290,pre_fire,90.41371,75.52114,9.266743,6.948343,295.29874,279.90482,67.30548,22.4736,0.0,1.1924685,7.38
2020-09-28,-289,pre_fire,87.35771,79.904,8.168571,6.9296,297.23987,280.91714,42.942856,11.607429,0.0,1.6266172,6.050629
2020-09-29,-288,pre_fire,59.906284,82.65257,7.224914,6.890857,299.72903,281.71506,40.02149,8.9544,0.0,1.9162629,2.4908571
2020-09-30,-287,pre_fire,57.762287,84.24,6.590857,6.857258,300.36926,283.37347,41.412914,8.198286,0.0,2.00088,2.1088
2020-10-01,-286,pre_fire,73.13486,86.066284,6.0921144,6.778057,302.19415,283.44376,41.216686,6.5888004,0.0,2.22592,3.596
2020-10-02,-285,pre_fire,64.704,88.848,5.457714,6.5912,302.10196,283.46686,33.51143,4.117257,0.0,2.3109713,2.422057
2020-10-03,-284,pre_fire,70.356575,90.526855,5.0354285,6.410286,301.45044,282.46594,33.81463,4.088343,0.0,2.2003884,2.892457
2020-10-04,-283,pre_fire,69.53714,90.71886,4.9147434,6.308914,299.2303,280.88867,37.476116,5.616343,0.0,1.8970743,2.8485715
2020-10-05,-282,pre_fire,62.82857,92.01143,4.692914,6.2276573,298.99637,280.21805,34.141144,4.055314,0.0,1.904937,2.036
2020-10-06,-281,pre_fire,67.12572,91.48457,4.7621717,6.187314,299.31555,280.4537,39.728455,5.8925714,0.0,1.8782401,2.5673141
2020-10-07,-280,pre_fire,66.31771,91.70514,4.7674284,6.145371,298.00867,279.47656,38.283314,5.5962286,0.0,1.7495772,2.4681144
2020-10-08,-279,pre_fire,68.51657,87.50743,5.002971,6.1235437,295.04297,278.98926,40.64869,8.421029,0.12537144,1.4540801,3.8998857
2020-10-09,-278,pre_fire,72.010284,89.448,5.3433146,6.0781713,294.67886,277.58206,46.469486,9.809485,0.0,1.351657,3.370743
2020-10-10,-277,pre_fire,56.603428,69.97943,8.149143,6.4194283,288.60367,277.86276,83.83909,38.68148,0.37999997,0.5941829,6.9385147
